year,avg_debt_usd,starting_salary_usd,dti_percent,debt_5yr_usd,stafford_rate_percent,default_rate_percent
2007,18230,45730,40,15000,6.8,6.7
2008,19300,49220,39,16000,6.8,7
2009,20470,48630,42,17000,5.6,8.8
2010,21860,48290,45,18000,4.5,10
2011,23240,51170,45,19000,3.4,11.3
2012,24760,44260,56,20000,3.4,11.8
2013,26270,45330,58,21500,3.86,11.3
2014,27760,48130,58,23000,4.66,10.8
2015,29140,50220,58,24500,4.29,10.1
2016,30550,49530,62,26000,3.76,9.7
2017,32090,50250,64,27500,4.45,9.1
2018,33550,51030,66,29000,5.05,7.3
2019,35210,54490,65,30500,4.53,6.3
2020,36510,56580,65,31500,2.75,2.3
2021,37110,58860,63,32000,3.73,2.3
2022,37570,61870,61,33000,4.99,2.3
2023,38200,64000,60,34000,5.5,2.3
