year,median_household_income_2023usd,tuition_public,pell_grant_max_usd,pell_yoy_pct,ratio
2000,41990,3349,3400,,8.0 
2001,42230,3501,3500,2.94,8.3 
2002,42410,3735,4000,14.29,8.8 
2003,43320,4046,4050,1.25,9.3 
2004,44330,4587,4050,0,10.3 
2005,46330,5027,4050,0,10.9 
2006,48200,5351,4050,0,11.1 
2007,50230,5666,4100,1.23,11.3 
2008,50300,5943,4310,5.12,11.8 
2009,49780,6312,5350,24.13,12.7 
2010,49280,6717,5550,3.74,13.6 
2011,50050,7132,5500,-0.9,14.2 
2012,51020,7713,5645,2.64,15.1 
2013,53590,8070,5645,0,15.1 
2014,53660,8312,5730,1.51,15.5 
2015,56520,8543,5775,0.79,15.1 
2016,59040,8778,5840,1.13,14.9 
2017,61140,8804,5920,1.37,14.4 
2018,63180,9036,6095,2.96,14.3 
2019,68700,9212,6195,1.64,13.4 
2020,68010,9349,6345,2.42,13.7 
2021,70780,9374,6495,2.36,13.2 
2022,74580,9596,6895,6.16,12.9 
2023,80610,9750,7395,7.25,12.1 
